gRNA_ID	Count
gRNA_66	7787
gRNA_67	4024
gRNA_68	10209
gRNA_69	10443
gRNA_7	4372
gRNA_70	12048
gRNA_71	10920
gRNA_72	12392
gRNA_73	6045
gRNA_74	17377
gRNA_75	10986
gRNA_76	8602
gRNA_77	14837
gRNA_78	9940
gRNA_79	12253
gRNA_8	5946
gRNA_80	11091
gRNA_81	2707
gRNA_82	5337
gRNA_83	4252
gRNA_84	2297
gRNA_85	3523
gRNA_86	11762
gRNA_87	8474
gRNA_88	4261
gRNA_89	15180
gRNA_9	8246
gRNA_90	15092
gRNA_91	8197
gRNA_92	5829
gRNA_93	10575
gRNA_94	8929
gRNA_95	13054
gRNA_96	12269
gRNA_97	8647
gRNA_98	4827
gRNA_99	6309
